geoid,median_income,no_vehicle,commuters_total,commuters_transit,transit_share
36005039700,35493.0,379.0,828.0,282.0,0.34057971014492755
36005039800,51629.0,380.0,1516.0,680.0,0.44854881266490765
36005039901,39524.0,1315.0,1991.0,1520.0,0.7634354595680563
36005039902,50534.0,1269.0,2374.0,1267.0,0.533698399326032
36005040100,26406.0,1622.0,1720.0,1137.0,0.661046511627907
36005040302,40938.0,1131.0,1770.0,1246.0,0.703954802259887
36005040303,39023.0,988.0,1668.0,1036.0,0.6211031175059952
36005040304,33218.0,1044.0,1361.0,732.0,0.5378398236590742
36005040400,83333.0,344.0,1545.0,606.0,0.39223300970873787
36005040501,42037.0,1160.0,1424.0,949.0,0.6664325842696629
36005040502,39486.0,1651.0,2262.0,1292.0,0.5711759504862953
36005040600,48157.0,594.0,1732.0,663.0,0.3827944572748268
36005040701,50068.0,979.0,1304.0,946.0,0.7254601226993865
36005040702,34724.0,1947.0,2959.0,1693.0,0.5721527543088881
36005040800,35476.0,1028.0,1856.0,1048.0,0.5646551724137931
36005040900,58466.0,727.0,1523.0,1161.0,0.7623112278397899
36005041100,42484.0,1017.0,1781.0,1335.0,0.7495788882650196
36005041300,62386.0,1828.0,4133.0,2491.0,0.6027098959593515
36005041400,63603.0,687.0,2511.0,1611.0,0.6415770609318996
36005041500,42188.0,1884.0,2188.0,1731.0,0.7911334552102377
36005041800,58090.0,596.0,1711.0,687.0,0.4015195791934541
36005041900,49667.0,1790.0,3019.0,1709.0,0.5660814839350778
36005042000,32672.0,1037.0,1263.0,591.0,0.4679334916864608
36005042100,52714.0,1373.0,2478.0,1369.0,0.5524616626311541
36005042200,72091.0,401.0,1520.0,622.0,0.40921052631578947
36005042300,63723.0,1011.0,1821.0,1334.0,0.7325645249862712
36005042400,97083.0,223.0,970.0,385.0,0.39690721649484534
36005042500,42839.0,1541.0,2731.0,1646.0,0.6027096301720981
36005042600,87763.0,504.0,3272.0,1339.0,0.40922982885085574
36005042800,104205.0,146.0,817.0,177.0,0.21664626682986537
36005042901,41658.0,677.0,1410.0,917.0,0.650354609929078
36005042902,48162.0,1287.0,1743.0,997.0,0.5720022948938611
36005043000,78482.0,461.0,1399.0,677.0,0.4839170836311651
36005043101,39792.0,1255.0,2236.0,1213.0,0.5424865831842576
36005043102,38569.0,1220.0,1872.0,860.0,0.4594017094017094
36005043400,71849.0,598.0,1878.0,708.0,0.3769968051118211
36005043501,26523.0,352.0,341.0,190.0,0.5571847507331378
36005043502,,0.0,0.0,0.0,
36005043503,88438.0,5.0,13.0,4.0,0.3076923076923077
36005043600,60536.0,310.0,797.0,386.0,0.48431618569636137
36005044200,40089.0,594.0,1294.0,567.0,0.4381761978361669
36005044400,99960.0,544.0,1665.0,685.0,0.4114114114114114
36005044800,102250.0,190.0,1139.0,450.0,0.39508340649692714
36005044901,98007.0,242.0,986.0,338.0,0.34279918864097364
36005044902,88264.0,259.0,1234.0,466.0,0.37763371150729336
36005045101,73021.0,416.0,730.0,251.0,0.34383561643835614
36005045102,93510.0,274.0,1005.0,326.0,0.3243781094527363
36005045600,114525.0,187.0,1952.0,752.0,0.38524590163934425
36005045800,27753.0,1588.0,1411.0,692.0,0.49043231750531535
36005046000,40500.0,603.0,1091.0,528.0,0.48395967002749773
36005046203,41371.0,1284.0,2307.0,1306.0,0.5661031642826181
36005046204,73104.0,683.0,2540.0,1102.0,0.4338582677165354
36005046205,46401.0,979.0,1203.0,630.0,0.5236907730673317
36005046206,48475.0,939.0,1631.0,780.0,0.47823421213979156
36005046207,69637.0,1326.0,2869.0,1181.0,0.4116416869989543
36005046208,88817.0,266.0,2221.0,963.0,0.4335884736605133
36005046209,31801.0,851.0,1652.0,1016.0,0.6150121065375302
36005048401,82451.0,321.0,1927.0,732.0,0.37986507524649715
36005048402,,0.0,0.0,0.0,
